,loss,acc,val_loss,val_acc
387,0.6215,0.6494,0.614,0.6573
388,0.6207,0.6466,0.6117,0.6573
389,0.6209,0.651,0.6116,0.6573
390,0.6214,0.6511,0.6117,0.6573
391,0.6208,0.6507,0.6142,0.6573
392,0.6212,0.6503,0.6224,0.6573
393,0.6211,0.6504,0.6135,0.6573
394,0.6207,0.6499,0.6167,0.6573
395,0.6213,0.6477,0.6112,0.6573
396,0.6214,0.6479,0.6115,0.6573
397,0.6212,0.6495,0.6123,0.6573
398,0.6216,0.6498,0.621,0.6573
399,0.6203,0.6479,0.6111,0.6573
400,0.6203,0.6498,0.6116,0.6573
401,0.6213,0.6503,0.614,0.6573
402,0.6221,0.6474,0.6195,0.6573
403,0.6214,0.6487,0.6128,0.6573
404,0.621,0.6499,0.6109,0.6573
405,0.6225,0.6481,0.612,0.6573
406,0.621,0.6498,0.6154,0.6573
407,0.6213,0.6508,0.6158,0.6573
408,0.6207,0.649,0.6119,0.6573
409,0.6217,0.65,0.612,0.6573
410,0.6219,0.6485,0.6166,0.6573
411,0.6209,0.6484,0.6166,0.6573
412,0.6205,0.6501,0.6161,0.6573
413,0.6208,0.6505,0.6284,0.6573
414,0.6219,0.6493,0.6127,0.6573
415,0.6204,0.6498,0.6123,0.6573
416,0.6197,0.6489,0.6112,0.6573
417,0.6213,0.6499,0.6703,0.4351
418,0.6218,0.647,0.6145,0.6573
419,0.621,0.65,0.6114,0.6573
420,0.6224,0.6494,0.6113,0.6573
421,0.6215,0.6483,0.6124,0.6573
422,0.6208,0.6493,0.6114,0.6573
423,0.622,0.6487,0.6148,0.6573
424,0.6221,0.6478,0.6118,0.6573
425,0.6209,0.6491,0.6119,0.6573
426,0.6205,0.6493,0.6186,0.6573
427,0.6203,0.6505,0.6148,0.6573
428,0.6217,0.65,0.6134,0.6573
429,0.6205,0.6502,0.6129,0.6573
430,0.6221,0.6506,0.6333,0.6573
431,0.6206,0.6518,0.6194,0.6573
432,0.6202,0.6498,0.6277,0.6573
433,0.6215,0.6494,0.6269,0.6464
434,0.6221,0.6499,0.613,0.6573
435,0.6213,0.6508,0.6121,0.6573
436,0.6204,0.6504,0.6318,0.6573
437,0.6201,0.6488,0.6126,0.6573
438,0.6219,0.6509,0.6252,0.6573
439,0.6208,0.6497,0.6228,0.6573
440,0.6205,0.6498,0.6119,0.6573
441,0.6201,0.6506,0.6295,0.6573
442,0.6207,0.6496,0.6291,0.6464
443,0.6195,0.6493,0.6126,0.6573
444,0.6207,0.6492,0.6106,0.6573
445,0.6212,0.6478,0.6132,0.6573
446,0.6203,0.6495,0.6127,0.6573
447,0.6217,0.6503,0.631,0.6464
448,0.6211,0.6487,0.6135,0.6573
449,0.6211,0.6497,0.6122,0.6573
450,0.6219,0.6489,0.6476,0.6464
451,0.6216,0.6486,0.6136,0.6573
