,loss,acc,val_loss,val_acc
378,0.288,0.8497,0.6104,0.7073
379,0.2882,0.8467,0.6047,0.7172
380,0.2892,0.8478,0.6112,0.7124
381,0.2891,0.8463,0.614,0.7114
382,0.29,0.8462,0.6233,0.7004
383,0.2893,0.8461,0.6103,0.7087
384,0.2894,0.846,0.6102,0.7124
385,0.2877,0.8484,0.5995,0.7179
386,0.2874,0.8481,0.6149,0.7042
387,0.2896,0.8499,0.608,0.7131
388,0.2892,0.8481,0.6059,0.7083
389,0.2874,0.848,0.5997,0.7165
390,0.288,0.8497,0.6131,0.7083
391,0.2861,0.8507,0.6182,0.7076
392,0.2892,0.8487,0.6057,0.7121
393,0.2871,0.8492,0.6115,0.7124
394,0.2874,0.8475,0.6046,0.7141
395,0.2881,0.8482,0.6062,0.7097
396,0.2868,0.8476,0.6151,0.7063
397,0.287,0.8484,0.6112,0.709
398,0.2885,0.8475,0.6193,0.7073
399,0.29,0.8467,0.6187,0.7018
400,0.2864,0.8494,0.6015,0.7128
401,0.286,0.8479,0.6064,0.7076
402,0.2862,0.8485,0.5988,0.71
403,0.2855,0.8491,0.5972,0.7028
404,0.2868,0.8482,0.6045,0.7131
405,0.2866,0.8494,0.5947,0.72
406,0.2863,0.8471,0.6146,0.7066
407,0.2844,0.8487,0.5967,0.7179
408,0.285,0.8506,0.5997,0.7138
409,0.2864,0.8491,0.6138,0.708
410,0.284,0.8511,0.5984,0.7114
411,0.2851,0.8494,0.6105,0.7186
412,0.2853,0.8499,0.5961,0.7114
413,0.2845,0.8521,0.6177,0.7087
414,0.2842,0.8489,0.6085,0.7131
415,0.286,0.8488,0.6046,0.7152
416,0.284,0.8515,0.6306,0.7063
417,0.2838,0.8499,0.6042,0.709
418,0.2835,0.8484,0.6177,0.7063
419,0.2833,0.8511,0.6188,0.6984
420,0.2857,0.8479,0.5978,0.7227
421,0.2839,0.8502,0.6059,0.7124
422,0.2825,0.8511,0.6143,0.7189
423,0.2831,0.8517,0.5969,0.7213
424,0.2827,0.8494,0.621,0.7028
425,0.2842,0.8505,0.6089,0.7169
426,0.2826,0.8516,0.6117,0.7131
427,0.2834,0.8505,0.6005,0.7111
428,0.2811,0.852,0.6251,0.7097
429,0.2834,0.8511,0.6099,0.7172
430,0.2826,0.8515,0.5935,0.7165
431,0.2851,0.8479,0.6194,0.7131
432,0.2811,0.8513,0.6093,0.7073
433,0.2828,0.8485,0.6173,0.7052
434,0.2806,0.8506,0.6141,0.7069
435,0.2827,0.85,0.6199,0.7025
436,0.2818,0.8506,0.6671,0.6909
437,0.2822,0.851,0.6003,0.72
438,0.2822,0.8514,0.6215,0.7093
439,0.2839,0.849,0.5981,0.7131
440,0.2821,0.8519,0.5983,0.7114
441,0.2826,0.8507,0.5954,0.7169
442,0.2815,0.85,0.62,0.7073
443,0.2806,0.8522,0.6188,0.7059
444,0.2813,0.8507,0.6148,0.7066
445,0.2808,0.8521,0.5993,0.7124
446,0.281,0.8516,0.6124,0.708
447,0.2791,0.854,0.6095,0.7145
448,0.2822,0.8502,0.6136,0.7046
449,0.2804,0.8518,0.6394,0.6991
450,0.2805,0.8497,0.6083,0.7093
451,0.2813,0.8513,0.6077,0.7159
452,0.2808,0.8528,0.6206,0.7111
453,0.2812,0.8512,0.6303,0.7131
454,0.28,0.8518,0.6033,0.7189
455,0.2816,0.8514,0.6129,0.7124
456,0.2809,0.852,0.6004,0.7186
457,0.2782,0.854,0.6042,0.72
458,0.2804,0.8506,0.6185,0.7097
459,0.2809,0.8528,0.6086,0.7176
460,0.2786,0.8528,0.6152,0.7152
461,0.2803,0.8537,0.6396,0.7042
462,0.2796,0.8523,0.6082,0.7182
463,0.2795,0.853,0.6078,0.721
464,0.2787,0.8532,0.6112,0.7093
465,0.278,0.8536,0.616,0.7224
466,0.2768,0.8531,0.6042,0.7234
467,0.2786,0.8522,0.6064,0.7131
468,0.279,0.8526,0.6311,0.7073
469,0.2789,0.8527,0.6099,0.7141
470,0.2777,0.8528,0.6117,0.7189
471,0.2768,0.8546,0.6038,0.723
472,0.278,0.8518,0.605,0.7138
473,0.2782,0.8523,0.6125,0.7179
474,0.2788,0.8525,0.5944,0.7162
475,0.2793,0.8521,0.6045,0.721
476,0.2772,0.8534,0.611,0.7248
477,0.2783,0.8528,0.6128,0.7213
478,0.2781,0.8521,0.6188,0.7135
479,0.2791,0.8506,0.5954,0.7248
480,0.2767,0.855,0.6107,0.7186
481,0.2778,0.8537,0.6003,0.7189
482,0.2778,0.854,0.6097,0.7155
483,0.2765,0.8524,0.5986,0.721
